Server Region,Account,Rules Violation,,Spending Score
Europe,s**urakiz,Cheating on Bygone Phantasm,,3
Southeast Asia,N**amin,Illegal resource obtainment,,3
Southeast Asia,9**,Illegal resource obtainment,,3
North America,C**or,Illegal resource obtainment,,0
Asia-Pacific,X**rra,Illegal resource obtainment,,0
Europe,T**shaaa,Illegal resource obtainment,,1
Europe,B**nc,Illegal resource obtainment,,0
Europe,R**s,Illegal resource obtainment,,0
Europe,A**ova,Illegal resource obtainment,,3
North America,t**natus,Illegal resource obtainment,,2
Asia-Pacific,M**f3u1,Illegal resource obtainment,,2
Southeast Asia,K**fe23,Illegal resource obtainment,,2
Europe,K**g,Illegal resource obtainment,,1
North America,C**birit,Illegal resource obtainment,,2
Europe,P**udanada,Illegal resource obtainment,,2
Southeast Asia,A**,Illegal resource obtainment,,0
Europe,E**isia,Illegal resource obtainment,,3
Europe,R**wei,Illegal resource obtainment,,1
Southeast Asia,F**kolmu,Illegal resource obtainment,,3
Southeast Asia,P**kita,Illegal resource obtainment,,3
North America,T**mpleHeaven,Cheating on Bygone Phantasm,,1
North America,H**uuki,Illegal resource obtainment,,2
Southeast Asia,T**64,Illegal resource obtainment,,3
North America,d**u,Illegal resource obtainment,,0
North America,F**gilda,Illegal resource obtainment,,1
North America,X** Qingyue,Illegal resource obtainment,,0
Asia-Pacific,K**thzuu,Illegal resource obtainment,,0
Europe,A**uka,Illegal resource obtainment,,0
Asia-Pacific,r**bolz974,Illegal resource obtainment,,3
Europe,Z**RE,Cheating on Bygone Phantasm,,1
Europe,P**eak,Illegal resource obtainment,,0
Asia-Pacific,B**bbrbarb,Cheating on Bygone Phantasm,,2
Europe,W**herle3s,Illegal resource obtainment,,2
Southeast Asia,P**uda3,Illegal resource obtainment,,3
Southeast Asia,q**dpyche,Illegal resource obtainment,,0
North America,J**nySinss,Illegal resource obtainment,,2
Southeast Asia,n**,Illegal resource obtainment,,0
Southeast Asia,q**ze,Illegal resource obtainment,,0
North America,?**Kirito-??,Illegal resource obtainment,,2
Europe,E**ante244,Illegal resource obtainment,,1
Europe,f**fo,Illegal resource obtainment,,3
Europe,S**shi,Illegal resource obtainment,,3
Southeast Asia,H**DTODIE,Illegal resource obtainment,,1
Europe,R**awa,Illegal resource obtainment,,3
Europe,I**s,Illegal resource obtainment,,1
Southeast Asia,N**xReckless,Illegal resource obtainment,,3
Southeast Asia,s**0kY,Illegal resource obtainment,,3
Southeast Asia,?**,Illegal resource obtainment,,3
Europe,H**OOT,Cheating on Bygone Phantasm,,1
North America,J**le,Illegal resource obtainment,,2
North America,c**colatoszero,Illegal resource obtainment,,0
Southeast Asia,A**emis Cesela,Illegal resource obtainment,,0
North America,I**Morgan,Illegal resource obtainment,,1
Europe,Z**rastiK,Illegal resource obtainment,,2
South America,R**per,Illegal resource obtainment,,0
Southeast Asia,W**woi,Illegal resource obtainment,,0
Southeast Asia,R**usuas,Illegal resource obtainment,,3
Southeast Asia,N**?,Illegal resource obtainment,,3
Asia-Pacific,C**yz,Illegal resource obtainment,,2
Southeast Asia,L**tina,Illegal resource obtainment,,0
North America,?**????,Illegal resource obtainment,,3
Southeast Asia,D**okoDoko,Illegal resource obtainment,,0
Europe,s**KNTLmns,Illegal resource obtainment,,0
Europe,l**igBigll,Illegal resource obtainment,,0
Asia-Pacific,N**iriKuubo,Illegal resource obtainment,,2
Southeast Asia,T** Nameless 1,Illegal resource obtainment,,2
Europe,S**alMyLife,Cheating on Bygone Phantasm,,0
Southeast Asia,H**burgerHelper,Illegal resource obtainment,,2
Europe,?**??,Illegal resource obtainment,,0
Europe,M**shal,Illegal resource obtainment,,3
Europe,r**ioactive,Illegal resource obtainment,,0
Southeast Asia,L**zz,Illegal resource obtainment,,3
Southeast Asia,U**miChan,Illegal resource obtainment,,3
North America,Z**ng,Illegal resource obtainment,,1
Europe,S**raishi,Illegal resource obtainment,,2
Southeast Asia,H**amiya,Illegal resource obtainment,,0
Southeast Asia,L**fa,Illegal resource obtainment,,1
North America,L**,Illegal resource obtainment,,1
Europe,F**sina,Illegal resource obtainment,,1
Asia-Pacific,A**a,Illegal resource obtainment,,2
Asia-Pacific,S**ha,Illegal resource obtainment,,1
Southeast Asia,J**k Matador,Illegal resource obtainment,,2
North America,k**cinha,Illegal resource obtainment,,3
Europe,t**3s,Illegal resource obtainment,,3
Southeast Asia,S**a,Illegal resource obtainment,,0
Asia-Pacific,N**amin,Illegal resource obtainment,,3
Europe,P**athur,Cheating on Bygone Phantasm,,0
Southeast Asia,K**mpuh,Cheating on Bygone Phantasm,,0
Europe,B**atObama,Illegal resource obtainment,,0
Asia-Pacific,R**i,Illegal resource obtainment,,0
Southeast Asia,C**ila,Illegal resource obtainment,,1
Southeast Asia,R**SteiN,Illegal resource obtainment,,2
Asia-Pacific,?**??,Illegal resource obtainment,,3
Southeast Asia,P**guinos,Illegal resource obtainment & Cheating on Bygone Phantasm,,3
Europe,O**gogo,Cheating on Bygone Phantasm,,2
Southeast Asia,S**U,Illegal resource obtainment,,0
South America,C**agonias,Illegal resource obtainment,,2
North America,w**lkempfear,Illegal resource obtainment,,2
Europe,S**lvia,Illegal resource obtainment,,1
Southeast Asia,C**lMeKHALID,Illegal resource obtainment,,3
Europe,O**oin,Illegal resource obtainment,,1
Europe,c**kie,Illegal resource obtainment,,1
Southeast Asia,?**?????????,Illegal resource obtainment,,2
Europe,d**am33,Illegal resource obtainment,,1
Southeast Asia,N**ermoua,Illegal resource obtainment,,1
Southeast Asia,R**dTcm,Illegal resource obtainment,,1
Southeast Asia,O**uloo,Illegal resource obtainment,,1
Southeast Asia,R**io,Illegal resource obtainment,,1
Southeast Asia,1**al,Illegal resource obtainment,,0
North America,T**ko,Illegal resource obtainment,,2
North America,M**e Wanderer,Illegal resource obtainment,,2
Southeast Asia,H**eLaruku,Illegal resource obtainment,,3
Europe,P**r4,Illegal resource obtainment,,2
Southeast Asia,S**l,Cheating on Bygone Phantasm,,3
Southeast Asia,R**s,Illegal resource obtainment,,3
Southeast Asia,B**ck,Illegal resource obtainment,,0
Southeast Asia,N**YourFlanker,Illegal resource obtainment,,0
Europe,F**var,Illegal resource obtainment,,2
Europe,x**S4Rx,Illegal resource obtainment,,0
North America,S**e Dude,Illegal resource obtainment,,2
Europe,A**cepyon,Illegal resource obtainment,,1
Asia-Pacific,K**ma21,Cheating on Bygone Phantasm,,0
Southeast Asia,A**Lmao,Illegal resource obtainment,,3
Asia-Pacific,S**rog,Illegal resource obtainment,,1
Southeast Asia,?**,Illegal resource obtainment,,2
Southeast Asia,G**dum,Illegal resource obtainment,,0
Europe,M**archys,Illegal resource obtainment,,2
Europe,H**ang,Illegal resource obtainment,,1
Southeast Asia,H**terfang,Illegal resource obtainment,,3
Asia-Pacific,t**perry7w7,Illegal resource obtainment,,3
Europe,s**rorororo,Illegal resource obtainment,,3
